filename,width,height,class,xmin,ymin,xmax,ymax
knife_371_jpg.rf.7a75e1f92b492b7fe5a849ad99a6b9fb.jpg,640,640,knife,0,0,640,640
52137341344_734abcc694_o_jpg.rf.9c1ca499f64a03ebbd5bc8481a7e3086.jpg,640,640,0,136,243,336,540
knife_375_jpg.rf.9d5fc9cb048cb79602afc6421df014ff.jpg,640,640,knife,0,0,640,640
knife_430_jpg.rf.171363cb2b9eabb68cc1db8481a950ed.jpg,640,640,knife,0,5,640,640
Board-Markers-Ink_-Camlin-White_jpg.rf.312911035cde713f70d6cf1c9e0a358c.jpg,640,640,plastic-marker_pen,23,76,622,273
Board-Markers-Ink_-Camlin-White_jpg.rf.312911035cde713f70d6cf1c9e0a358c.jpg,640,640,plastic-marker_pen,15,336,617,545
624e89314d71c_jpeg_jpg.rf.6248e8a69974e78456ab5d941e03bcc0.jpg,416,416,blue pen,12,72,390,220
624e89314d71c_jpeg_jpg.rf.6248e8a69974e78456ab5d941e03bcc0.jpg,416,416,black pen,12,134,401,294
624e89314d71c_jpeg_jpg.rf.6248e8a69974e78456ab5d941e03bcc0.jpg,416,416,red pen,18,205,403,366
knife_449_jpg.rf.6bd831eb371151c12c951d5b6b6ebf11.jpg,640,640,knife,0,0,640,640
knife_431_jpg.rf.9b3f4f15d90e88b2046e6cad5ad6fd7f.jpg,640,640,knife,0,7,640,640
5edb0db1b08f790cd8e9f6ca_800x0xcover_Y3pfg8cr_jpg.rf.b8fbc6cc822eff8539e4a3ca4181b0da.jpg,416,416,red pen,67,40,331,314
5edb0db1b08f790cd8e9f6ca_800x0xcover_Y3pfg8cr_jpg.rf.b8fbc6cc822eff8539e4a3ca4181b0da.jpg,416,416,blue pen,92,96,357,368
knife_380_jpg.rf.b5b65be557807091c11148fb188ed663.jpg,640,640,knife,2,4,640,640
Buy-Markers-in-Malaysia-September-2022_jpg.rf.901082d785d0c1e7d13277a0ed03bc8a.jpg,640,640,plastic-marker_pen,6,493,431,637
