frame,time,pred,conf,no_weapon_prob,weapon_prob
0,1758535026.1680474,no_weapon,0.6537029,0.6537029,0.3462971
1,1758535026.6274335,no_weapon,0.61764383,0.61764383,0.3823562
2,1758535027.0178406,no_weapon,0.6180857,0.6180857,0.38191435
3,1758535027.5191557,no_weapon,0.61820376,0.61820376,0.3817962
4,1758535027.9694004,no_weapon,0.6153402,0.6153402,0.3846598
5,1758535028.3470101,no_weapon,0.61573035,0.61573035,0.38426962
6,1758535028.7731254,no_weapon,0.61300385,0.61300385,0.38699618
7,1758535029.16303,no_weapon,0.6135203,0.6135203,0.38647965
8,1758535029.493957,no_weapon,0.6133419,0.6133419,0.38665798
9,1758535029.829036,no_weapon,0.59554625,0.59554625,0.40445372
10,1758535030.3239298,no_weapon,0.591296,0.591296,0.40870392
11,1758535030.7516818,no_weapon,0.594279,0.594279,0.405721
12,1758535031.1583347,no_weapon,0.60369045,0.60369045,0.39630958
13,1758535031.64744,no_weapon,0.60123855,0.60123855,0.39876148
14,1758535032.173829,no_weapon,0.60321033,0.60321033,0.39678967
15,1758535032.5882556,no_weapon,0.6035885,0.6035885,0.39641145
16,1758535033.1815748,no_weapon,0.60331684,0.60331684,0.39668316
17,1758535033.5485415,no_weapon,0.60972285,0.60972285,0.39027712
18,1758535033.99823,no_weapon,0.6072039,0.6072039,0.39279616
19,1758535034.5196328,no_weapon,0.6089522,0.6089522,0.39104778
20,1758535034.8515337,no_weapon,0.6053351,0.6053351,0.39466485
21,1758535035.2412736,no_weapon,0.6088637,0.6088637,0.39113632
22,1758535035.6161041,no_weapon,0.6113143,0.6113143,0.38868564
23,1758535035.9888732,no_weapon,0.61450833,0.61450833,0.38549167
24,1758535036.3974283,no_weapon,0.623173,0.623173,0.37682694
25,1758535036.8056188,no_weapon,0.592813,0.592813,0.40718699
26,1758535037.3295398,no_weapon,0.49594492,0.49594492,0.504055
27,1758535037.7328005,no_weapon,0.45137757,0.45137757,0.5486224
28,1758535038.1426196,no_weapon,0.42834088,0.42834088,0.5716591
29,1758535038.4667766,weapon,0.6115392,0.38846084,0.6115392
30,1758535038.859273,no_weapon,0.40831044,0.40831044,0.5916895
31,1758535039.2660494,no_weapon,0.40753978,0.40753978,0.5924603
32,1758535039.6012204,no_weapon,0.41294622,0.41294622,0.58705384
33,1758535039.9831405,no_weapon,0.42360887,0.42360887,0.57639116
34,1758535040.320637,no_weapon,0.42279115,0.42279115,0.5772089
35,1758535040.7066517,no_weapon,0.41503397,0.41503397,0.58496606
36,1758535041.1002402,no_weapon,0.41308632,0.41308632,0.58691365
37,1758535041.50817,weapon,0.61159956,0.38840044,0.61159956
38,1758535041.8360333,weapon,0.6159456,0.3840544,0.6159456
39,1758535042.2199373,weapon,0.61727375,0.38272628,0.61727375
40,1758535042.5518882,no_weapon,0.41876504,0.41876504,0.581235
41,1758535042.874213,weapon,0.6058419,0.39415818,0.6058419
42,1758535043.2844002,weapon,0.6253774,0.3746226,0.6253774
